x,y
259.238,196.073,0
261.416,227.249,0
266.004,257.955,0
272.214,291.195,0
282.127,328.061,0
298.55,363.647,0
321.134,393.734,0
348.905,416.898,0
381.154,427.703,0
413.461,417.89,0
441.918,396.26,0
466.092,368.122,0
484.023,333.545,0
494.153,295.773,0
500.137,260.669,0
504.693,227.71,0
507.413,194.5,0
279.176,192.775,0
292.96,183.239,0
311.282,179.614,0
330.797,181.223,0
349.957,186.347,0
404.404,184.247,0
425.051,177.927,0
446.215,175.456,0
466.42,178.959,0
482.257,188.955,0
376.263,212.735,0
376.18,236.587,0
376.178,260.562,0
376.26,284.245,0
355.762,295.661,0
365.901,300.161,0
376.644,302.616,0
388.348,299.947,0
399.456,295.2,0
303.217,215.833,0
315.48,208.07,0
330.764,207.972,0
343.725,214.423,0
330.489,217.902,0
316.389,219.004,0
415.325,212.42,0
428.327,205.187,0
444.044,205.138,0
457.216,212.387,0
443.809,216.021,0
429.254,215.546,0
334.026,338.593,0
345.938,330.437,0
361.205,325.217,0
378.457,329.045,0
396.421,324.946,0
412.899,329.829,0
426.741,337.201,0
413.198,349.144,0
396.883,357.106,0
379.167,360.762,0
362.19,357.508,0
346.501,350.112,0
359.844,336.427,0
378.651,339.664,0
398.359,336.156,0
398.081,339.254,0
378.649,343.375,0
360.021,339.486,0
