p,t,abc
0,64,a
0,66,a
1,64,b
1,80,a
1,82,a
2,48,a
2,49,a
2,82,b
2,83,a
3,47,a
3,48,b
4,46,a
4,47,b
5,46,b
5,50,a
6,30,a
6,32,a
6,50,b
7,26,a
7,29,a
7,30,b
8,23,a
8,24,a
8,29,b
9,18,a
9,20,a
9,24,b
10,17,a
10,18,b
10,38,a
10,42,a
11,42,b
11,43,a
12,41,a
12,43,b
13,41,b
13,44,a
13,61,a
14,61,b
14,98,a
14,100,a
15,94,a
15,99,a
15,100,b
16,94,b
16,96,a
17,65,a
17,66,b
18,65,b
18,67,a
18,68,a
19,54,a
19,55,a
19,68,b
19,69,a
19,71,a
20,51,a
20,53,a
20,54,b
20,70,a
20,71,b
21,51,b
21,52,a
21,56,a
21,70,b
21,72,a
21,76,a
22,52,b
22,56,b
22,87,a
22,89,a
22,90,a
23,51,c
23,52,c
23,53,b
23,90,b
23,92,a
23,93,a
24,53,c
24,54,c
24,55,b
24,91,a
24,92,b
25,55,c
25,91,b
25,95,a
25,97,a
26,96,b
26,97,b
27,56,c
27,72,b
27,74,a
27,87,b
27,88,a
28,73,a
28,74,b
28,86,a
28,88,b
29,57,a
29,63,a
29,73,b
29,75,a
29,86,b
29,103,a
29,104,a
30,57,b
30,58,a
30,59,a
30,60,a
30,62,a
30,63,b
31,0,a
31,4,a
31,45,a
31,49,b
31,57,c
31,58,b
31,75,b
31,77,a
31,81,a
31,83,b
32,0,b
32,1,a
32,7,a
32,58,c
32,59,b
33,7,b
33,8,a
33,59,c
33,60,b
34,6,a
34,8,b
34,10,a
34,60,c
34,62,b
35,10,b
35,11,a
35,40,a
35,44,b
35,61,c
35,62,c
35,63,c
35,98,b
35,104,b
35,106,a
36,64,c
36,65,c
36,66,c
36,67,b
36,80,b
36,84,a
37,67,c
37,68,c
37,69,b
37,78,a
37,84,b
37,85,a
38,69,c
38,70,c
38,71,c
38,76,b
38,78,b
38,79,a
39,72,c
39,73,c
39,74,c
39,75,c
39,76,c
39,77,b
39,79,b
40,77,c
40,78,c
40,79,c
40,81,b
40,85,b
41,80,c
41,81,c
41,82,c
41,83,c
41,84,c
41,85,c
42,86,c
42,87,c
42,88,c
42,89,b
42,103,b
42,105,a
43,89,c
43,90,c
43,93,b
43,102,a
43,105,b
44,91,c
44,92,c
44,93,c
44,95,b
44,101,a
44,102,b
44,107,a
45,94,c
45,95,c
45,96,c
45,97,c
45,99,b
45,101,b
46,98,c
46,99,c
46,100,c
46,101,c
46,106,b
46,107,b
47,102,c
47,103,c
47,104,c
47,105,c
47,106,c
47,107,c
48,31,a
48,32,b
48,45,b
48,46,c
48,47,c
48,48,c
48,49,c
48,50,c
49,3,a
49,4,b
49,25,a
49,27,a
49,31,b
49,34,a
49,45,c
50,3,b
50,5,a
50,34,b
50,35,a
51,15,a
51,19,a
51,22,a
51,28,a
51,33,a
51,37,a
52,12,a
52,13,a
52,16,a
52,21,a
52,36,a
53,11,b
53,13,b
53,14,a
53,21,b
53,39,a
53,40,b
54,38,b
54,39,b
54,40,c
54,41,c
54,42,c
54,43,c
54,44,c
55,14,b
55,17,b
55,38,c
55,39,c
56,16,b
56,19,b
56,36,b
56,37,b
57,2,a
57,5,b
57,9,a
57,12,b
57,33,b
57,35,b
57,36,c
57,37,c
58,25,b
58,28,b
58,33,c
58,34,c
58,35,c
59,26,b
59,27,b
59,30,c
59,31,c
59,32,c
60,22,b
60,23,b
60,25,c
60,26,c
60,27,c
60,28,c
60,29,c
61,15,b
61,20,b
61,22,c
61,23,c
61,24,c
62,14,c
62,15,c
62,16,c
62,17,c
62,18,c
62,19,c
62,20,c
62,21,c
63,6,b
63,9,b
63,10,c
63,11,c
63,12,c
63,13,c
64,1,b
64,2,b
64,6,c
64,7,c
64,8,c
64,9,c
65,0,c
65,1,c
65,2,c
65,3,c
65,4,c
65,5,c
